,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Winter_Pop_Start,Winter_Pop_End
291,325,E 19 St & 3 Ave,40.73624527,-73.98473765,3697,2693,1557,1569
292,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,0,205,409,334
293,359,E 47 St & Park Ave,40.75510267,-73.97498696,8096,4511,3773,3473
294,3313,6 Ave & 12 St,40.666318100000005,-73.9854617,0,122,302,258
295,467,Dean St & 4 Ave,40.68312489,-73.97895137,2860,613,1149,1086
296,3141,1 Ave & E 68 St,40.76500525,-73.95818491,0,2236,2631,2623
297,3379,E 103 St & Lexington Ave,40.790305100000005,-73.94755757,0,75,410,446
298,391,Clark St & Henry St,40.69760127,-73.99344559,3192,1441,1285,934
299,295,Pike St & E Broadway,40.71406667,-73.99293911,2633,2178,1292,1292
300,3231,E 67 St & Park Ave,40.767800799999996,-73.96592081,0,0,499,453
301,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,0,2789,1702,1714
302,476,E 31 St & 3 Ave,40.74394314,-73.97966069,4748,3318,2126,2123
303,342,Columbia St & Rivington St,40.71739973,-73.98016555,1934,1488,1093,1061
304,546,E 30 St & Park Ave S,40.74444921,-73.98303529,0,1808,1990,1982
305,82,St James Pl & Pearl St,40.71117416,-74.00016545,1146,919,436,464
306,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,0,869,997,1037
307,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,0,503,1181,1074
308,314,Cadman Plaza West & Montague St,40.69383,-73.990539,2323,1143,813,705
309,291,Madison St & Montgomery St,40.713126,-73.984844,1751,1486,913,921
310,3378,E 76 St & Park Ave,40.773763,-73.96222088,0,161,796,778
311,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,0,2432,1984,2044
312,266,Avenue D & E 8 St,40.72368361,-73.97574813,1996,1320,785,762
313,3293,W 92 St & Broadway,40.7921,-73.9739,0,456,848,830
314,164,E 47 St & 2 Ave,40.75323098,-73.97032517,3066,1549,1257,1250
315,383,Greenwich Ave & Charles St,40.735238,-74.000271,4881,3785,2122,2176
316,2008,Little West St & 1 Pl,40.70569254,-74.01677685,0,4598,1514,1525
317,508,W 46 St & 11 Ave,40.76341379,-73.99667444,4490,2730,1379,1405
318,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,0,3533,2873,2866
319,3284,E 88 St & Park Ave,40.7814107,-73.95595908,0,274,464,433
320,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1823,589,685,680
321,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,2681,969,831,628
322,3438,E 76 St & 3 Ave,40.77224854,-73.95842135,0,387,667,672
323,357,E 11 St & Broadway,40.73261787,-73.99158043,2702,2077,1149,1140
324,280,E 10 St & 5 Ave,40.73331967,-73.99510132,2908,2208,1360,1388
325,3622,E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,0,24,173,180
326,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,0,409,1009,785
327,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3980,1913,1173,1184
328,388,W 26 St & 10 Ave,40.74971775,-74.00295035,4509,3331,1808,1888
329,3386,1 Pl & Clinton St,40.6809591,-73.99905709,0,400,318,305
330,3329,Degraw St & Smith St,40.6829151,-73.99318208,0,356,435,444
331,3382,Carroll St & Smith St,40.680611,-73.99475825,0,428,835,840
332,3603,31 Ave & 30 St,40.7647,-73.9240312,0,54,188,187
333,3354,3 St & Prospect Park West,40.668132,-73.97363831,0,258,501,391
334,3585,Union St & Bedford Ave,40.6691783,-73.9554162,0,93,98,95
335,3157,East End Ave & E 86 St,40.77518615,-73.94446054,0,294,222,209
336,3150,E 85 St & York Ave,40.77536905,-73.94803392,0,384,664,652
337,3517,31 St & Hoyt Ave N,40.771152799999996,-73.9170074,0,5,252,238
338,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,4862,3505,1532,1528
339,2009,Catherine St & Monroe St,40.71117444,-73.99682619,0,1950,1004,1024
340,3306,10 St & 7 Ave,40.666207799999995,-73.98199886,0,143,450,404
341,3486,Schermerhorn St & Bond St,40.68841743,-73.98451656,0,851,746,752
342,268,Howard St & Centre St,40.71910537,-73.99973337,4424,3352,1630,1651
343,3515,24 Ave & 26 St,40.774591,-73.918544,0,12,151,139
344,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,0,281,344,348
345,3357,W 106 St & Amsterdam Ave,40.80083629999999,-73.96644925,0,210,422,365
346,441,E 52 St & 2 Ave,40.756014,-73.967416,4084,1508,1209,1197
347,3547,Broadway & Moylan Pl,40.8143256,-73.9590255,0,445,321,334
348,525,W 34 St & 11 Ave,40.75594159,-74.0021163,0,2940,1388,1498
349,3341,Central Park West & W 102 St,40.795346,-73.96186,0,204,446,434
350,3422,Columbia St & Degraw St,40.6859296,-74.00242364,0,501,469,493
351,328,Watts St & Greenwich St,40.72405549,-74.00965965,4455,3464,1566,1567
352,3134,3 Ave & E 62 St,40.76312584,-73.96526895,0,573,898,907
353,3290,E 89 St & York Ave,40.7779453,-73.94604100000001,0,0,690,699
354,3094,Graham Ave & Withers St,40.7169811,-73.94485918,0,157,292,296
355,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,0,4466,2145,2181
356,3617,28 Ave & 35 St,40.7671,-73.9169858,0,37,241,221
357,3642,E 98 St & Lexington Ave,40.7872852,-73.95012259,0,0,133,139
358,3536,W 116 St & Broadway,40.8082,-73.9641,0,199,495,358
359,400,Pitt St & Stanton St,40.71926081,-73.98178024,1030,779,397,371
360,3523,24 Ave & 29 St,40.7729,-73.91614200000001,0,16,83,91
361,3156,E 72 St & York Ave,40.76663814,-73.95348296,0,844,1474,1502
362,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,1762,949,807,678
363,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,1407,1002,621,586
364,495,W 47 St & 10 Ave,40.76269882,-73.99301222,4569,3084,1875,1901
365,3449,Eckford St & Engert Ave,40.72146256,-73.94800901,0,63,257,263
366,3489,Gold St & Frankfort St,40.71069995,-74.00354147,0,998,535,529
367,3405,5 St & 6 Ave,40.670483600000004,-73.98208968,0,145,368,333
368,3588,Vernon Blvd & 10 St,40.7671863,-73.9373554,0,21,156,170
369,528,2 Ave & E 31 St,40.74290902,-73.97706058,0,3679,2022,2021
370,3618,27 St & Hunter St,40.7485,-73.941275,0,71,146,156
371,2022,E 60 St & York Ave,40.759107,-73.959223,0,382,394,378
372,3584,Eastern Pkwy & Franklin Ave,40.670776700000005,-73.9576801,0,200,358,354
373,346,Bank St & Hudson St,40.73652889,-74.00618026,3862,2907,1727,1742
374,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,1258,579,393,339
375,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,0,560,779,710
376,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,0,676,808,791
377,3328,W 100 St & Manhattan Ave,40.795,-73.9645,0,209,617,560
378,503,E 20 St & Park Ave,40.73827428,-73.98751968,5129,3774,2278,2262
379,355,Bayard St & Baxter St,40.71602118,-73.99974372,3610,2874,1399,1425
380,249,Harrison St & Hudson St,40.71870987,-74.0090009,1862,1406,959,966
381,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,7706,5103,2761,2705
382,311,Norfolk St & Broome St,40.7172274,-73.98802084,3468,2608,1266,1210
383,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,0,4874,1004,1030
384,3540,Morningside Ave & W 123 St,40.81,-73.9551508,0,80,166,175
385,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,0,651,885,916
386,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,0,888,429,429
387,3373,3 St & 3 Ave,40.675070500000004,-73.98775226,0,326,640,663
388,3117,Franklin St & Dupont St,40.735640000000004,-73.95866,0,182,407,409
389,3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,0,760,570,568
390,3615,44 Dr & 21 St,40.748000000000005,-73.94609270000001,0,87,299,310
391,3402,Court St & State St,40.6902375,-73.99203074,0,1415,1254,1266
392,455,1 Ave & E 44 St,40.75001986,-73.96905301,3434,2131,1416,1406
393,3292,5 Ave & E 93 St,40.785785100000005,-73.957481,0,316,432,409
394,3106,Driggs Ave & N Henry St,40.72325,-73.94308000000001,0,130,690,693
395,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,0,684,1248,1129
396,433,E 13 St & Avenue A,40.72955361,-73.98057249,5270,3879,2417,1980
397,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1987,1206,1036,696
398,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,2540,1574,1178,1099
399,392,Jay St & Tech Pl,40.695065,-73.987167,2384,1706,727,794
400,3537,Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,0,465,352,347
401,3358,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,0,190,381,355
402,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,0,1136,1259,1352
