bikeid,Distance
32725,266.7156177777778
28911,266.6949066666667
30691,266.6762666666669
28912,266.62698666666677
25945,266.61413333333337
30315,266.5830666666665
32251,266.57356444444446
26634,266.5706400000001
31990,266.54164444444444
32969,266.5255022222221
19333,266.4555111111109
29182,266.43437333333344
31787,266.4095200000001
18498,266.40495111111113
31081,266.40495111111113
28282,266.36145777777773
31382,266.31424888888904
32325,266.2641155555555
33025,266.2309777777779
32354,266.14606222222227
28697,266.13406222222216
31659,265.98080000000004
19860,265.9398044444445
32944,265.9149511111112
32294,265.8275377777779
31032,265.7587644444445
33370,265.7426222222223
25183,265.7368355555556
30340,265.7177688888888
30662,265.69663111111123
32933,265.673848888889
27639,265.6489955555556
33457,265.62414222222225
29764,265.6096444444445
26102,265.60136000000006
30854,265.56822222222223
14612,265.55786666666677
32925,265.41703111111116
32605,265.35489777777786
32840,265.35282666666666
28944,265.3180444444444
24822,265.2906933333334
33201,265.2906933333332
30765,265.2389155555556
30760,265.21863111111116
29325,265.2057777777778
32249,265.1643555555557
29749,265.1581422222223
32546,265.1569244444444
29070,265.09600888888883
32950,265.08900444444447
33467,265.0815111111111
30084,265.02766222222215
30904,264.97174222222213
30867,264.96595555555564
32127,264.93860444444454
32039,264.8868266666668
28951,264.80812444444445
25646,264.71699555555557
31630,264.70663999999994
31782,264.70456888888884
28016,264.6631466666668
31518,264.6569333333333
33387,264.52852444444443
31330,264.4933155555557
32700,264.4084
32636,264.39475555555555
27727,264.3773333333334
26546,264.3694755555557
33521,264.35040888888904
33289,264.3466933333333
33339,264.34005333333323
32596,264.3152000000002
27687,264.2820622222223
19732,264.2742044444443
28451,264.1785066666665
27868,264.12715555555553
31818,264.1267288888889
31584,264.09152
32302,264.07909333333333
30182,264.0418133333334
32730,264.04016888888907
31071,264.00660444444435
30397,263.87612444444454
31140,263.8222755555554
30558,263.77299555555544
32472,263.7518577777778
31974,263.73114666666686
28806,263.71664888888876
31182,263.71250666666657
30939,263.66072888888885
31515,263.6130933333333
32246,263.5302488888888
25952,263.52446222222216
29800,263.50996444444456
31115,263.5053955555556
30385,263.38941333333344
28544,263.385271111111
31252,263.33392
30357,263.32356444444446
32205,263.29828444444433
30965,263.2050844444444
32064,263.19887111111103
24952,263.14752
33445,263.1143822222223
30521,263.0953155555556
32495,263.082888888889
30443,263.0290400000002
32280,263.0124711111113
30026,262.9627644444445
31349,262.9441244444446
30428,262.9337688888889
30506,262.8964888888888
33066,262.8695644444446
31122,262.8550666666668
29169,262.81157333333323
33456,262.74529777777775
32640,262.72251555555556
33210,262.7187999999999
28584,262.7150844444445
32377,262.7105155555556
33099,262.7059466666667
29989,262.69808888888895
31106,262.5796088888889
17508,262.57175111111104
29759,262.5091911111111
32467,262.44498666666664
33345,262.42013333333335
32870,262.41599111111105
32995,262.41227555555554
33545,262.4056355555556
32917,262.3869955555556
26047,262.36628444444443
33089,262.3559288888889
32156,262.3542844444443
31591,262.34764444444454
30958,262.3145066666667
32431,262.2440888888887
31983,262.21716444444434
28173,262.10410666666667
24832,262.07840000000004
32091,261.9603466666667
31013,261.9421333333334
32841,261.9255644444446
33367,261.7888711111111
32031,261.70188444444454
33017,261.69731555555563
31194,261.67660444444454
31448,261.67660444444437
32074,261.67453333333344
32946,261.6621066666668
31622,261.56062222222215
31133,261.53619555555565
30290,261.5295555555556
27553,261.4802755555555
32095,261.4322133333334
17395,261.36928888888895
32370,261.32244444444444
26552,261.24831111111115
27984,261.23752888888885
27349,261.2313155555555
31975,261.17953777777785
29118,261.14225777777784
30072,261.1174044444444
31654,261.04698666666667
25234,261.0163466666666
33140,261.01591999999994
29376,260.98692444444436
32556,260.9600000000001
31564,260.9252177777778
30389,260.89993777777784
31857,260.7860266666667
25990,260.7591022222222
28490,260.6596888888888
30680,260.6120533333333
33671,260.60583999999994
19096,260.5938399999999
30574,260.54577777777774
27021,260.5167822222223
32607,260.50021333333336
32191,260.4877866666666
28299,260.4836444444445
31896,260.4836444444445
31839,260.47992888888894
31335,260.46421333333325
28529,260.44636444444444
32650,260.43600888888886
33297,260.3453066666666
28180,260.3407377777777
27874,260.3386666666667
30706,260.33866666666654
30468,260.2454666666667
25076,260.23718222222226
33115,260.20611555555564
31530,260.20197333333334
32009,260.1174844444444
32017,260.0615644444444
21641,260.04664
28746,260.02221333333335
29703,260.0114311111111
30952,259.9927911111111
33655,259.95136888888885
27730,259.94558222222224
27325,259.84159999999997
29926,259.79646222222226
31858,259.750471111111
30581,259.7442577777778
30042,259.55621333333335
33085,259.54750222222225
33341,259.5019377777777
27137,259.4501600000001
28507,259.3155377777778
30836,259.093928888889
26891,259.0690755555557
32055,259.06493333333344
28248,259.0400800000001
33055,259.0239377777778
32301,258.9721600000001
30370,258.94359111111106
32066,258.9013155555556
29949,258.8474666666666
32715,258.8453955555555
30076,258.82718222222223
30663,258.81475555555545
18210,258.78618666666665
31108,258.7024888888889
31338,258.67556444444443
30070,258.6320711111112
29909,258.59272
31788,258.5844355555555
31830,258.5575111111112
31391,258.4891644444444
31572,258.4291022222223
28844,258.4291022222222
33283,258.3632533333334
24937,258.3528977777778
26023,258.3363288888889
15647,258.2219911111111
15226,258.2062755555555
32508,258.1867822222222
32885,258.1681422222223
27019,258.1292177777779
32694,258.10808000000014
28059,258.0915111111111
31336,258.0915111111111
33249,258.0587999999999
30878,258.0480177777778
