,Station_ID,Station_name,Lat,Lng,Start,End,Distance,Season
98,3160,Central Park West & W 76 St,40.77896784,-73.97374737,0,930,NaN,Summer
99,3160,Central Park West & W 76 St,40.77896784,-73.97374737,920,887,17.580334423845876,Winter
100,376,John St & William St,40.70862144,-74.00722156,2521,1941,15.645929308975397,Summer
101,376,John St & William St,40.70862144,-74.00722156,1195,1203,11.470543933054394,Winter
102,449,W 52 St & 9 Ave,40.76461837,-73.98789473,0,0,NaN,Summer
103,449,W 52 St & 9 Ave,40.76461837,-73.98789473,1136,1122,10.042341549295777,Winter
104,339,Avenue D & E 12 St,40.72580614,-73.97422494,1705,984,16.109806224310017,Summer
105,339,Avenue D & E 12 St,40.72580614,-73.97422494,523,394,12.995761631612504,Winter
106,491,E 24 St & Park Ave S,40.74096374,-73.98602213,6196,4470,11.90356854513159,Summer
107,491,E 24 St & Park Ave S,40.74096374,-73.98602213,2750,2762,9.789884848484837,Winter
108,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,0,0,NaN,Summer
109,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,3561,3661,9.707554057848906,Winter
110,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,0,3154,NaN,Summer
111,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2305,2299,11.642990451388876,Winter
112,296,Division St & Bowery,40.71413089,-73.99704679999999,3447,2741,14.010651374370887,Summer
113,296,Division St & Bowery,40.71413089,-73.99704679999999,1494,1596,12.19219691895512,Winter
114,128,MacDougal St & Prince St,40.72710258,-74.00297088,6752,5159,14.296819281868986,Summer
115,128,MacDougal St & Prince St,40.72710258,-74.00297088,2208,2281,11.41720283945025,Winter
116,524,W 43 St & 6 Ave,40.75527307,-73.98316936,0,3001,NaN,Summer
117,524,W 43 St & 6 Ave,40.75527307,-73.98316936,1822,1799,11.498893157702168,Winter
118,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,0,343,NaN,Summer
119,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,321,327,13.76020833333333,Winter
120,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,1713,921,13.65209429183713,Summer
121,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,587,531,10.211319681456185,Winter
122,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,0,240,NaN,Summer
123,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,285,286,11.320363849765263,Winter
124,3081,Graham Ave & Grand St,40.711863,-73.944024,0,357,NaN,Summer
125,3081,Graham Ave & Grand St,40.711863,-73.944024,335,334,12.517661691542287,Winter
126,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,0,4314,NaN,Summer
127,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2941,2937,10.188905895691606,Winter
128,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,0,832,NaN,Summer
129,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,1368,1284,11.620909534259948,Winter
130,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,0,212,NaN,Summer
131,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,861,860,8.961298449612404,Winter
132,3431,E 35 St & 3 Ave,40.746524,-73.977885,0,2024,NaN,Summer
133,3431,E 35 St & 3 Ave,40.746524,-73.977885,1309,1318,10.716093710211345,Winter
134,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,0,3194,NaN,Summer
135,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,2202,2214,10.942529518619429,Winter
136,326,E 11 St & 1 Ave,40.72953837,-73.98426726,5000,3856,12.745372407814871,Summer
137,326,E 11 St & 1 Ave,40.72953837,-73.98426726,2033,2052,10.266797900262459,Winter
138,3430,Richardson St & N Henry St,40.71907891,-73.94223690000001,0,98,NaN,Summer
139,3430,Richardson St & N Henry St,40.71907891,-73.94223690000001,496,500,7.230779569892472,Winter
140,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,0,538,NaN,Summer
141,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,1206,1200,8.761410788381749,Winter
142,3124,46 Ave & 5 St,40.74731,-73.95451,0,81,NaN,Summer
143,3124,46 Ave & 5 St,40.74731,-73.95451,496,501,7.752356902356898,Winter
144,477,W 41 St & 8 Ave,40.75640548,-73.9900262,10108,6479,14.38576144729452,Summer
145,477,W 41 St & 8 Ave,40.75640548,-73.9900262,4256,4267,10.978348214285731,Winter
146,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,5699,4327,13.125231237559966,Summer
147,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2228,2293,10.162133453022147,Winter
148,504,1 Ave & E 16 St,40.73221853,-73.98165557,6790,5042,10.865357984678857,Summer
149,504,1 Ave & E 16 St,40.73221853,-73.98165557,3147,3200,9.313000635727896,Winter
150,502,Henry St & Grand St,40.714215,-73.981346,3302,2628,12.688841765121682,Summer
151,502,Henry St & Grand St,40.714215,-73.981346,1803,1842,10.258901830282833,Winter
152,3259,9 Ave & W 28 St,40.74937024,-73.99923384,0,0,NaN,Summer
153,3259,9 Ave & W 28 St,40.74937024,-73.99923384,1525,1536,10.934939890710394,Winter
154,497,E 17 St & Broadway,40.73704984,-73.99009296,11860,8778,12.508575123706676,Summer
155,497,E 17 St & Broadway,40.73704984,-73.99009296,4503,4924,10.160921072116102,Winter
156,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,0,2000,NaN,Summer
157,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,1651,1709,8.109272727272721,Winter
158,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,0,444,NaN,Summer
159,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,706,806,9.526203966005669,Winter
160,3288,E 88 St & 1 Ave,40.778301,-73.9488134,0,0,NaN,Summer
161,3288,E 88 St & 1 Ave,40.778301,-73.9488134,797,832,13.839857800083628,Winter
162,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,0,5090,NaN,Summer
163,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,2596,2569,10.650815985607785,Winter
164,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,0,1652,NaN,Summer
165,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,1182,1353,11.383657642413986,Winter
166,499,Broadway & W 60 St,40.76915505,-73.98191841,9151,3067,16.72621911218026,Summer
167,499,Broadway & W 60 St,40.76915505,-73.98191841,3112,3088,11.462269708654674,Winter
168,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,6605,4452,12.829774344994718,Summer
169,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,1489,1516,10.485304659498217,Winter
170,3298,Warren St & Court St,40.686371,-73.99383324,0,521,NaN,Summer
171,3298,Warren St & Court St,40.686371,-73.99383324,561,580,8.287738095238097,Winter
172,293,Lafayette St & E 8 St,40.73020661,-73.99102628,8810,6799,11.722576738200686,Summer
173,293,Lafayette St & E 8 St,40.73020661,-73.99102628,3616,3701,9.505986338041163,Winter
174,3165,Central Park West & W 72 St,40.77579377,-73.97620574,0,1436,NaN,Summer
175,3165,Central Park West & W 72 St,40.77579377,-73.97620574,1659,1618,12.69933614966807,Winter
176,545,E 23 St & 1 Ave,40.736502,-73.97809472,0,4039,NaN,Summer
177,545,E 23 St & 1 Ave,40.736502,-73.97809472,2705,2729,11.305218730745537,Winter
