,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Summer_Dist,Winter_Pop_Start,Winter_Pop_End,Winter Dist
78,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,0,2000,NaN,1651,1709,8.109272727272721
79,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,0,444,NaN,706,806,9.526203966005669
80,3288,E 88 St & 1 Ave,40.778301,-73.9488134,0,0,NaN,797,832,13.839857800083628
81,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,0,5090,NaN,2596,2569,10.650815985607785
82,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,0,1652,NaN,1182,1353,11.383657642413986
83,499,Broadway & W 60 St,40.76915505,-73.98191841,9151,3067,16.72621911218026,3112,3088,11.462269708654674
84,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,6605,4452,12.829774344994718,1489,1516,10.485304659498217
85,3298,Warren St & Court St,40.686371,-73.99383324,0,521,NaN,561,580,8.287738095238097
86,293,Lafayette St & E 8 St,40.73020661,-73.99102628,8810,6799,11.722576738200686,3616,3701,9.505986338041163
87,3165,Central Park West & W 72 St,40.77579377,-73.97620574,0,1436,NaN,1659,1618,12.69933614966807
88,545,E 23 St & 1 Ave,40.736502,-73.97809472,0,4039,NaN,2705,2729,11.305218730745537
89,317,E 6 St & Avenue B,40.72453734,-73.98185424,4048,2926,12.60756489493203,1860,2095,10.70967741935482
90,448,W 37 St & 10 Ave,40.75660359,-73.9979009,4704,3102,14.440009217896911,1827,1835,11.542619959861327
91,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,0,2414,NaN,1851,1820,11.173374752386108
92,479,9 Ave & W 45 St,40.76019252,-73.9912551,6648,3651,14.844941282746133,2653,2696,11.047522947315471
93,446,W 24 St & 7 Ave,40.74487634,-73.99529885,6743,4751,11.57354352126605,3117,3127,9.143788121990362
94,3158,W 63 St & Broadway,40.77163851,-73.98261428,0,1429,NaN,2183,1777,10.159474728966236
95,3394,Columbia St & W 9 St,40.6769993,-74.00647134,0,21,NaN,47,47,7.007801418439716
96,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,6041,4475,14.884581193749646,1957,1982,12.052853006302167
97,3389,Carroll St & Columbia St,40.6830456,-74.00348559,0,374,NaN,368,414,10.797871376811589
98,350,Clinton St & Grand St,40.71559509,-73.9870295,3284,2488,13.251847903340439,1322,1325,10.471902599041139
99,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,3216,2335,15.023862104717484,929,901,11.245545977011487
100,485,W 37 St & 5 Ave,40.75038009,-73.98338988,1242,672,12.555609232420833,1669,1658,10.561061151079125
101,3643,E 41 St & 5 Ave,40.75272201,-73.98123622,0,0,NaN,1190,1133,9.983501400560224
102,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,5170,4026,13.27763905019999,2325,2419,9.812722317842791
103,3139,E 72 St & Park Ave,40.77118288,-73.96409422,0,615,NaN,550,540,12.720916818457805
104,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,700,210,15.170488630865977,237,108,14.438045007032356
105,407,Henry St & Poplar St,40.700469,-73.991454,1432,872,14.686221756347532,424,287,8.323443656422384
106,509,9 Ave & W 22 St,40.7454973,-74.00197139,7229,5254,12.413149275763478,2897,2930,9.055615004027162
107,303,Mercer St & Spring St,40.72362738,-73.99949601,4085,3189,15.639162581699333,1356,1388,12.042313377679243
108,3518,Lenox Ave & W 126 St,40.808442,-73.94520870000001,0,100,NaN,414,424,12.533696529459244
109,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,5701,4531,12.6134480337079,2165,2234,9.8841651263093
110,3304,6 Ave & 9 St,40.668127,-73.98377641,0,168,NaN,559,526,8.299281867145414
111,3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,0,214,NaN,643,659,10.229341627786418
112,401,Allen St & Rivington St,40.72019576,-73.98997825,5382,3840,13.727147989840821,1948,1933,10.212414442162922
113,3572,34 Ave & 38 St,40.756913,-73.921631,0,48,NaN,306,299,9.464324618736386
114,127,Barrow St & Hudson St,40.73172428,-74.00674436,6933,5169,13.696358826358887,2376,2400,10.937920875420867
115,389,Broadway & Berry St,40.71044554,-73.96525063,2611,789,14.775472903885465,828,755,10.689177750906877
116,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,0,197,NaN,201,205,18.250166666666658
117,152,Warren St & Church St,40.71473993,-74.00910627,0,0,NaN,840,842,10.859078267779095
118,3317,10 St & 5 Ave,40.6686273,-73.98700053,0,126,NaN,281,277,11.139226190476188
119,432,E 7 St & Avenue A,40.72621788,-73.98379855,6234,4750,11.919146204461512,3454,2902,9.40932734993243
120,402,Broadway & E 22 St,40.740343200000005,-73.98955109,11604,8207,12.949656549979894,4526,4784,10.293292817679568
121,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2128,1131,13.16873628096584,755,836,10.699182139699397
122,237,E 11 St & 2 Ave,40.73047309,-73.98672378,5901,4246,12.085028535910016,2277,2343,9.987192442882233
123,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,0,163,NaN,970,999,9.36745867768594
124,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,3792,2886,13.30233887276886,1338,1413,10.434242650722487
125,513,W 56 St & 10 Ave,40.768254,-73.988639,3100,1919,14.764553763440892,1370,1349,11.001240875912396
126,168,W 18 St & 6 Ave,40.73971301,-73.99456405,7701,6051,12.284054299818191,3287,3390,10.163887198214645
127,282,Kent Ave & S 11 St,40.70764494,-73.96841526,2034,709,17.36821094135046,564,587,12.441252955082742
128,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,9345,2917,30.96086110218227,2423,2375,15.68264491257054
129,3086,Graham Ave & Conselyea St,40.715143,-73.944507,0,310,NaN,856,857,7.892943469785572
130,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,869,296,13.015492686682066,401,303,9.324605153782207
131,394,E 9 St & Avenue C,40.72521311,-73.97768752,4365,3124,13.5507148318043,1689,1698,12.002794233807265
132,379,W 31 St & 7 Ave,40.749156,-73.9916,8251,5290,12.925144461955027,3652,3721,10.303431909455997
133,251,Mott St & Prince St,40.72317958,-73.99480012,6264,4539,13.912015441959548,1751,1781,10.506866666666673
134,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,8863,6359,16.093026231605844,4057,4441,11.62267159884917
135,471,Grand St & Havemeyer St,40.71286844,-73.95698119,2046,550,13.911086637298093,528,469,10.70258838383838
136,3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,0,56,NaN,499,515,10.915631262525045
137,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,0,348,NaN,442,453,9.13609221466364
138,330,Reade St & Broadway,40.71450451,-74.00562789,2798,2044,13.794770073862278,1004,1004,10.752639442231091
139,520,W 52 St & 5 Ave,40.75992262,-73.97648516,0,486,NaN,1503,1503,11.415901530272794
140,362,Broadway & W 37 St,40.75172632,-73.98753523,2997,1790,13.669398998330577,1136,1079,11.384756455399073
141,3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,0,224,NaN,239,238,10.784658298465834
142,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,0,104,NaN,999,972,8.470574482297915
143,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,0,116,NaN,299,298,15.209754738015619
